Rating,Review
6,"It could have been so much better...The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken.Regrettably, however, the film completely misses the chance to appeal to people who grew up with Barbie. Instead, we're left with a film that almost divides and pits men against women, in an attempt to make it a feminist and political film.Instead of seeing a light, fun film, I saw a rather heavy-handed movie whose storyline is centered around patriarchy.It's a real shame, because the film's potential is pretty amazing. I came away disappointed, but not totally disgusted either."
8,"""Barbie"" - A Multifaceted Exploration of Femininity, Consumerism, and ExistentialismI got free tickets for a preview and to be honest I was more than a little embarrassed to go. I did not tell a soul. As a cool middle aged gentleman if word got out this could have really affected my street cred.Anyway, I embraced the journey and I'm glad that I did. Here is my review written as a pretentious critic that I aspire to be in my next life:In Greta Gerwig's latest directorial venture, ""Barbie,"" the esteemed filmmaker takes on the monumental task of unravelling the enigma that is Barbie, the iconic doll that has fascinated and polarized society for decades.With Margot Robbie as the eponymous character and Ryan Gosling as Ken, Gerwig's live-action rendition delves into the complex world of Barbie, attempting to extract deeper meaning from this cultural phenomenon.Gerwig masterfully navigates the treacherous waters of branded material, infusing the narrative with a blend of adventure, comedy, fantasy, and romance. The result is a thought-provoking exploration of Barbie's role as a feminist symbol, challenging societal perceptions of femininity and girlhood.Can a doll with impossibly perfect features and a smile of perpetual happiness truly embody feminist ideals?Gerwig compels the audience to contemplate this question, weaving it throughout the fabric of the film.In reality Margot Robbie dominated the film as expected and has developed into a true cinematic icon. The flm was fun and far above my expectations hence I'm giving it an 8 and boasting I watched Barbie."
8,"You are KenoughThis movie is so much fun. It starts off really strong although the story does move away from ""Barbieland"" sooner than I would have liked. Nonetheless, it regains its footing with the final act in particular and I could not stop laughing at Ryan Gosling's portrayal of Ken. That song will forever be stuck in my head.There are also plenty of good messages to be taken away from this experience, that is if you're not an insecure middle-aged male terrified of women. I loved everything the movie had to say about the patriarchy and barbies and growing up and consumerism and so much more.I am excited to watch it again soon. The pacing is not perfect and its huge potential is not fully matched, but purely as a cinematic experience I will never forget this movie."
8,"not for everyoneThis is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already."
9,"Now I am become Barbie Girl, the enjoyer of Barbie worldsI have been waiting for this to release for so long and I finally got to watch it today. I absolutely loved it! It was fun, it had Margot Robbie (and extra stuff for Tarantino's out there if you know what I mean) And it had some absolute bangers! What more could you want from a new summer classic?Honestly the depth of the story ain't there but what do you expect from a film about a Barbie? Lol I'll probably go back and watch it again tbh and I'll probably purchase it once it releases on blu ray as I did rather enjoy it (seriously my mouth hurts from smiling and laughing) there are some touching moments where Robbie really shines I just wish there were a little more because as everyone I absolutely adore Margot and her films.Anyway Barbie is a blast. It's a definite recommend on my list."
,"Honestly - not funny and light enoughI really enjoyed the first 20 minutes of the movie. It was very upbeat, positive and light. However, things soon became negative about 20 - 25 minutes into the movie. I couldn't stand it. Barbie's world and attitude was a constant bummer. Ken's attitude was sour. For the next hour (and more) the movie just lived in negativity.I bought tickets to this show a month ago. And, I saw it the day before the official opening day. I was very excited about this movie. And, I was playing the music (Dua Lipa) song almost every day. I was really excited for this movie - and was looking forward to something very positive. But, the vast majority of the movie was the ""conflict"" part of the writing. It was just too much! The movie didn't need to go that way, that far, that fast. I would have preferred a more shallow and fun Barbie movie vs. This Barbie movie filled with over an hour of conflict."
6,"No DirectionThe movie was very funny and really enjoyable to laugh at with the full theatre. However, the messages of the movie were the problem. I was never really sure what I was supposed to take away, there was nothing about finding equality or love it was all about how every man cat falls every woman or women can't be anything. It was really silly because there was no accurate reflection of America at any single point except for Barbie getting called a Fascist for no reason by a 14 year old. I enjoyed how they called out women for hating women and how they really tried to preach empowerment and the ability to be anything, but at the same time there was so much resentment and they ended the movie by reinstating hate. The majority of the movie was hating men as much as possible. That's just whatever because what really matters is the story. Well it fell short on that mark and it was really disappointing. The pacing was horrible, the villain won and was pretty irrelevant in the long run, the story was all over the place, and it is totally not for kids. I think the worst part is how disappointed I was at the opportunity to really make something special and it just wasn't. 6 points for all the laughs and fun I had and I would expect 6-7 to be an appropriate rating."
10,"The best version of itselfBarbie is everything expected of it and so much more, a self aware and meta comedy made for fans and newcomers alike that's also incredibly profound, layered and really funny. It's the best version of itself and just immensely satisfying that the Barbie movie that got made on this scale is so weird and unique.Margot Robbie is perfect casting as Barbie, she nails the movement and switches between the eccentric Barbie Land and more emotionally tolling real world effortlessly. She has a terrific arc that's full of emotionally resonant moments and the almost parental nature with Gosling works beautifully.Ryan Gosling is phenomenal as Ken. Note perfect casting that gives him another welcome chance to move away from his usual introverted roles and tap into his impeccable comedic timing present in The Nice Guys, only here it's dialed up to eleven. It all culminates in a musical number that is painfully funny.Will Ferrell is essentially playing Lord Business again and him and his whole team of execs are just as cartoonish as the people in Barbie Land but it actually really works as a nice bit of satire that emphasises just how out of touch all of them are.America Ferrara gets one of the biggest speeches of the film and really makes it work and her relationship with Ariana Greenblatt adds a lot of heart to the film whilst allowing it to have its both ways when it comes to acknowledging the history of Barbie.Greta Gerwig's direction is excellent, getting the bigger budget she absolutely deserves and uses every penny. Magnificent dance numbers, a fun car chase and a Barbie Land that is as vibrant as possible and despite fully embracing its own artificial nature it feels more real and visually stunning than so much of what's out there.The soundtrack is another standout element, a great selection of songs from some of the best artists currently working all at the top of their game. Like the film, some are just really fun, some are very profound and every single one fits in effortlessly."
6,"This Barbie is dissapointed.Yes. Day by day it becomes more obvious that now the movies are made just because of the income they generate and nothing else. Ok, Barbie itself was not a creative idea, I know. And actually I didn't expect to see something unseen something unique in the first place, all in all it's ""Barbie"".But wouldn't you agree with me in that it could have been excelled better? It totally could have been. This movie has a huge budget. Then why such a mediocre story at best? I'm not saying it was a bad movie as well, but it was just ""ok"". Just that.Nowadays movies have become nothing else but live-actions, sequels and prequels. Now it seems like the only thing matters is to have known faces in your movie and the promotions; and creating a story and excelling it good became the least important components of a movie. Unfortunately, Barbie does not fall short in these criterias."
8,"It's like G.I Joe...For girls! Seriously, and I love it for that!I mean, Margo Robbie as Barbie just made perfect sense, but I really wanted to see the movie when I herd that Ryian Gosling was going to be Ken, I just thought that would be hilarious and I was right!I was a little bit nervous when I heard this was not going to be an in-universe thing and that Barbie would enter the real world, but that was a great story.The real-life story did give the art direction the purpose of making a ""BarbieLand"" with life size dream houses even I wanted to live in. The film just looks really good.Give praise to director Greta Gerwig because this movie is fun but there were a lot of deep life cuts and the balance between the two was perfect.It was good hands down."
6,"Could Have Been Great. 2nd Half Brings It Down.The quality, the humor, and the writing of the movie is fun for a while. It's quirky and it's unique. When they get into the weeds and try to explore deeper themes, the movie is a miss. The middle expositional phase of the movie, I must say, is a bore.The movie was so close to being great, but it was incapable of delivering a message without having a character literally give a speech worth of dialogue.What could have been a great satire and what began as a cleverly funny movie turned into a preachy and moralizing movie in the end. But I guess the charm of the first half of the movie made up for the shortcomings."
8,"I am KenoughSo I went into the movie with little to no expectations and I was pleasantly impressed with the movie overall.So basically the movie is about Barbie who is starting to feel emotions and not everything feels perfect in Barbieland. She ventures to the real world to discover the solution of getting everything perfect again. Barbie is joined by the one and not only KEN, Ken is obsessed with Barbie and sees her as the centre of his world, he goes to the real world and discovers patriarchy, which leads to many events.The movie overall is actually quite funny, Ryan Gosling is fantastic as Ken and the stand out for me, he needs to be many versions of Ken and he kills then all !! Margott is also great, she brings a range to Barbie, for me also Weird Barbie was great, she was funny and brought a difference.There were times I felt the ""woman power"" thing was just a bit much and took me out of the movie, I feel like the movie had that message and didn't need to shove it down your throat but it decided to at points so for me that does bring it down a notch, the daughter was also just annoying hahaha yes I get it she hated the world bla bla, she just had no redeeming qualities, otherwise no complains and I do think it's worth seeing, solid 8/10."
6,"Quite disappointingSome friends freaking out that I went to see Barbie lol I mean I mentioned I went coz my sister insisted since ages. Anyway the movie was bad. These days, every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that. I wished I had gotten the ticket for Oppenheimer in the same timings as my sister's Barbie show. Other than that, the acting done by Margot Robbie and Ryan Gosling was great so can't take that away from them. They did justice to their roles."
10,"A wholesome delight!Barbie is based on Mattel's iconic plastic dolls of the same name. Barbie(Margot Robbie) lives a very happy life in Barbie Land, along with her fellow Barbies, Ken(Ryan Gosling) & his fellow Kens. Suddenly, Barbie goes through an existential crisis that makes her question Barbie Land & the truth of her existence.Barbie is a phenomenal film. Director Greta Gerwig has given us a movie that is a tribute to everyone who used to play with Barbie dolls during their childhood, while also making fun of all the tropes of Barbie dolls & Ken dolls. This film is hilarious, with a few emotional scenes that will make you tear up & a beautiful message at the end. The production design by Sarah Greenwood is awe-inspiring. All the songs are foot-tappingly flawless. The choreography is faultless. Margot Robbie is outstanding as Barbie. Robbie's multi-layered portrayal of the titular character, proves that she's the perfect choice to play Barbie. Ryan Gosling is spectacular as Ken. Gosling portrays a wide range of emotions, effortlessly. Ryan Gosling's Ken is the highlight of the movie. America Ferrera is fantastic as Gloria. Ariana Greenblatt is awesome as Sasha. Will Ferrell is hysterical as the Mattel CEO. Michael Cera is perfect as Allan. Helen Mirren is epic as the Narrator. The supporting cast is superb. Barbie is a must watch for a burst of childhood nostalgia & fans of Greta Gerwig, Margot Robbie & Ryan Gosling. Wear a bright pink shirt, grab your friends, head to your nearest theatre, watch it on the big screen & have an absolute whale of a time!"
10,"What A Film! I Was Ecstatic About Seeing Barbie And It Definitely Exceeded My Expectations By Far.What a film! I was ecstatic about seeing Barbie and it definitely exceeded my expectations by far. As much as I was excited, I was a bit scared that the stakes were too high; after all Barbie is an icon and a part of so many people's childhood. For a film like this it's very easy to create something corny, disappointing, or unappealing to viewers. I'm so glad that Gretta Gerwig stepped up to the plate and created an absolute masterpiece.The film starts with showing the origin of Barbie in 1959. It explains how little girls used to play with baby dolls and commonly acted as their mothers, but wanted a doll that they could really play with instead of taking care of. And that's how Barbie came about. Then we see the beautiful Barbie world where every Barbie is a part of something. We see Barbie doctors, Barbie novelists, Barbie astronauts, Barbie everything! And in Barbie's world every day is perfect. The star of the show Margot Robbie plays ""Stereotypical Barbie"" and she starts to notice strange things happening to her. She has to visit the real world to see who was playing with her to discover why these strange things are happening. The rest of the film is about Barbie trying to find herself and discovering scary aspects of the real world that she was blinded by before.There was so much love put into this film and you can really see that on screen. The comedy in this film is so on point that the whole theater was laughing when I went to see this film. Huge kudos to Greta Gerwig and Noah Baumbach, writers of this incredible screenplay. The script is pure genius; I love how the film really honors Barbie and what she was made for. The cast of this film is exceptional. Margot Robbie was originally producing the film until she was cast as Barbie. Margot is the perfect Barbie; she plays this role so well she is like a real-life Barbie on screen. The way she embodies Barbie is just so perfect. I was really excited to see Ryan Gosling as Ken since he's one of my favorite actors. There's a lot of controversy as to why Ryan Gosling was cast as Ken but he makes perfect sense. He plays Ken so well he really nails what it means to be Ken in this film. America Ferrera plays a Mom named Gloria and she is such an interesting character. She plays a mom who's going through struggles of just being a woman and I'm sure her character will speak to so many mothers. It would be a crime to not talk about the insane set. Funny enough, Greta Gerwig used so much pink paint for this set that it actually drained an entire company's supply. The Barbie world is exactly as you'd expect it -- from Barbie dream-houses to Barbie beaches -- everything looks like it came right out of a toy store. Rodrigo Prieto shot this film and the cinematography is extraordinary. As someone who grew up with Barbie, this film really speaks to me. I am in love with the score of this film. Billie Eilish's ""What was I made for"" is one of the most beautiful songs I've heard. This film is packed with so many great artists like Tame Impalla, Lizzo, Dua Lipa and many others.The film is packed with so many messages. I was surprised with how many topics this film covers -- what it means to be a woman, what it means to be a mother, what it's like to grow up in today's society, what is love, and so much more. This film is a celebration of women and girlhood but I also love how it represents men. Ken is discovering how men are viewed in today's society in a similar way to how Barbie is discovering who she is.I give Barbie 5 out of 5 stars and recommend it for ages 8 to 18, plus adults. By Zoe C. KIDS FIRST!"
6,"Fun film whose script falls in on itselfMargot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable.While cynics and perhaps realists will argue that the film is primarily a marketing vehicle to sell Barbie dolls, it does attempt to carry a moral message. However, the commercial aspect of the movie undercuts the credibility of this message somewhat.The movie starts off well, being smartly self-aware and offering a tongue-in-cheek critique of itself with many winks to the audience. However, as it progresses, the commentary on feminism and the patriarchy becomes heavy-handed, especially in the dialogue-heavy third act, which weighs down the overall narrative.The set and wardrobe designs are a standout. I think kids will love this part alone, even if some of the humor and social commentary will go over their heads.Overall, it's a fun film but not without its flaws. It's likely to spark discussion due to its blunt societal commentary. If you're looking for a visually impressive movie to entertain the kids, and you're willing to enjoy it without analyzing its message too deeply, then it's an enjoyable watch."
6,"Strong Start... and That's ItI walked out of the theatre thinking, ""Yeah, I had a good time in that movie"". But as the day went on I kind had that ""Ok, that kebab probably wasn't a good idea.""The film is stunning in its production design and creativity, and Margot Robbie is perfectly cast as the Stereotypical Barbie. For the most part, the songs are catchy and performances are solid for the type of characters being portraying.When we strip away the outside world and all the messaging, Barbie and Ken have a few poignant moments - Barbie realising she's not as perfect as she's been made to believe, or when Ken receives his first modicum of acknowledgement of being a sentient being he's ever had in his life. They also share a couple learning and growth moments which I thought would pay off at the end of the film.I don't know why, but I was hoping for something that would actually enlighten its audience, to acknowledge that things are a mess and make intentional and meaningful steps to get us closer to understanding and equality. The Barbie brand, history, controversies are so engrained in our culture that this movie had a potential to change our perspective of the world, and what the future could be. That's a lot of pressure for one film, I know.However... this film is absolutely not immune to the not-so-subtle messaging that has permeated all forms of media and entertainment recently. In fact, it embraces is. So much so that you have a scene where a man walks up behind Barbie and slaps her on the backside, in broad daylight, in a crowded space, in front of her boyfriend.... And this kind of portrayal of men in 2023 appears to be how the film views the world.Maybe it was this kind of overt comical depiction of men and the world generally that allowed me to get through the movie and kind of enjoy it, but upon reflection, I realise now it's just kind of... yuck.Barbie had the rare opportunity to be a film experience that not only highlighted issues in the real world, but offer and foster some ideas for change. Instead, we receive divisive and mean-spirited attack on half the human population as well as anyone who thinking having a family is an acceptable path in life. And also flat feet and cellulite.If you kind of switch off your brain for an hour and a bit, and don't take this film too seriously, then maybe you'll have a lasting positive memory after seeing this movie.But if you need to do that to enjoy something, then you need to ask yourself: why?"
10,"A colorful love letter to human kindI cried, I laughed, I dance and I did sing too. What a joyful time I had at the movies watching Barbie. This is a movie to celebrate how diverse and complicated are the humans. The cinematography is a outstanding as well as the production design and the vestuary. The casting seems like made in heaven. I recommend this movie for 11+ years old. And if you have a teen at home, take her with you. Barbie goes from fun to introspection and I love a good comedy that makes you think. Ryan Gosling is the perfect Ken, he does everything in this movie and shines every time he shows up. Margo is a perfect Barbie and got a real sense of the relevance this is going to have."
6,"Not so unique as expectedThe concept of a Barbie movie is really unique and got me all exited. But unfortunately to me it delivers the same messages that we keep hearing as of lately.It started off quite funny, but after 45 minutes or so, the movie went in a direction I did not like. It took itself a bit too serious. I would have preferred a more lighthearted movie.Ryan Gosling did the best job out of everyone playing Ken I thought. The perfect guy with the perfect body and yet very campy, girly and insecure. Job well done, especially toward the end.If you are a fan of Barbie, you will probably get your money's worth."
10,"10/10!!!!!!!Wow. WOW!!!!My favorite movie of all time is Aliens. It's been my favorite movie since I was 5-years-old. I'm 38 now. That has NEVER changed.Until THIS.And I bet you are thinking this review is satire. It's NOT.I'm BLOWN away. Barbie is now my favorite movie of all time - successfully unseating Sigourney Weaver's Ripley. I never thought I would see the day.The movie makes you think it's going to be just a fun, silly movie to mock. NO. It's not. It's brilliantly written. It's written so well that all the adult messaging goes right over the little kids heads but still gives them plenty of enjoyment.The movie sparked really great discussion with my daughter who is 8-years-old. We discussed why it's so important to value ourselves and what the patriarchy is. It's just... mind blowingly good.And also - a good reminder to all women. WE ARE ENOUGH. We are good enough. And we need to raise our daughters to be confident and leaders if that's the path they choose."
6,"A Hot Pink MessBefore making Barbie (2023),  single-handedly directed two films:  and . Both were about girls on the precipice of adolescence, both had nuanced and layered portrayals of mother-daughter relationships, both combined imaginative visuals with clever dialogue. Both were very, very good. Given those credentials, one may expect Barbie to be as intelligent, convincing and amusing a picture - and, well, it isn't.The fantasy comedy begins in Barbie Land, a place where Barbie (played by ) is having the best day every day, in the company of other Barbies and, occasionally, Kens. The designs, costumes, and cinematography do an excellent job re-creating the Mattel vision in its pink plastic perfection. The introduction is referential but not overtly reliant on what is external to the film; it is smartly self-aware and presents a world where Barbie can be anything - a President, a Physicist, a Journalist, a Lawyer, or a Mermaid. Much like with the original toys, Ken () comes as an afterthought and 'only exists within the warmth of Barbie's gaze'.The plot is set in motion when Barbie begins having thoughts about death and, normally suspended in the state of standing on the balls of her feet, she feels her heels hit the ground. What follows is  journey in reverse (the parallel is explicit) and, ultimately, a Pinocchio storyline of the doll in the Real World.If Barbie was fully dedicated to that conceit - as promised by the trailer - it could be an interesting exploration in the way of  or . Instead, the film chooses to introduce a handful of conflicts, threats, and plot-lines that are never fully realised. What is the nature of the connection between a Barbie and the girl who plays with the doll in the Real World? What would happen if Barbie were put back in the box? Why is Gloria (), the receptionist at the Mattel headquarters and, later, Barbie's Real-World companion, depressed - and how is that eventually resolved? Why is Gloria's daughter Sasha () cross with her mother? Why does the board of Mattel spend one third of the film hiding in the bushes? Most importantly, the crux of the third-act conflict - set in Barbie Land now renamed 'Kendom' - contradicts what had been previously established about that world and its inhabitants.Towards the finale, the production evolves into explicit commentary on gender roles. One side is presented as clueless and attention-seeking, while the other is manipulative and vengeful. The film repeatedly takes offence with 'mansplaining', yet behaves in a blithely patronising manner towards the viewer. Much of what is declared is not supported by what has been shown, and the picture relies on the presumed prior experience of the audience, rather than on storytelling. While the denouement includes one of the film's highlights, the musical number 'I'm Just Ken', the ending does not resolve (or acknowledge) much, and the final scene is reductive to the point of being offensive.Barbie is very easy on the eye, and the acting ranges from competent to inspired, with praiseworthy performances by the leading actors. Margot Robbie is pitch-perfect as Barbie, and Ryan Gosling shines as her counterpart, often stealing the show. Situational comedy and slapstick mostly land, while some of the bon mots are funny, yet hardly plausible when spoken by the characters.If only this were better written. If only the joyride in the pink convertible did not leave you with blond hair in your mouth."
10,"Had me smiling all the way throughOkay maybe it was a 9.5 because of two flaws: First was the Will Ferrell character and his board that made their point but then became superfluos. Second was that it is definitely not a kids' movie (although maybe they would see things that I didn't - I mean to be fair, the few kids in the theatre were well behaved so perhaps the movie got their full attention as well).But why did I enjoy it? Simply amazing visuals, Margot Robbie looked flawlessly gorgeous and played it perfectly. Ryan Gosling was also brilliant in this. Great music, great pacing and then there was the script. There were a lot of messages in this film that trod a tightrope between pithy, ironic, sarcastic and cliched. But I reckon they just about managed it which, considering the subject matter, was quite an accomplishment. I will need to see it a second time to check whether the messages were balanced and as meaningful as they were meant to be but I hope that women were as upbeat about it as i was. Overall, on an enjoyment level alone, it deserves its high score from me."
